ID,Concept,Underlined,Revised Activity Description,,Instructions
1283,,,Students use the method of their choice to combine two sentences based on an excerpt from a novel by George Orwell.,,
1237,,,Students practice writing with participial phrases by combining two sentences.,,
877,,,Students practice writing with participial phrases by combining two sentences.,,
878,,,Students practice writing with participial phrases by combining two sentences.,,
1224,,,Students practice writing with participial phrases by combining two sentences.,,
443,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase at the beginning of a sentence.,,
449,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase at the beginning of a sentence.,,
1431,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase at the beginning of a sentence.,,
876,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase at the end of a sentence.,,
1228,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase at the end of a sentence.,,
450,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase in the middle of a sentence.,,
1236,,,Students practice writing with participial phrases by combining two sentences. Students must place the participial phrase in the middle of a sentence.,,
1222,,,Students use the method of their choice to combine two sentences based on a short story by Ambrose Bierce.,,
1284,,,Students use the method of their choice to combine two sentences based on a narrative poem by John Montague.,,
1195,,,Students use the method of their choice to combine two sentences based on a short story by Edward P. Jones.,,
1272,,,Students use the method of their choice to combine two sentences based on a personal essay by Danial Adkison.,,
1278,,,Students use the method of their choice to combine two sentences based on an article by Derek Thompson.,,
1275,,,Students use the method of their choice to combine two sentences based on an article by Lexington.,,
1095,,,Students use the method of their choice to combine two sentences based on a short story by Teolinda Gersão.,,
1282,,,Students use the method of their choice to combine two sentences based on an article by Ben Sasse.,,
711,,,"Students practice using articles by filling in the blank with a, an, or the.",,
1096,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1104,,,Students practice using singular and plural nouns by filling in the blank with one of the two provided options.,,
1106,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1109,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1111,,,Students practice using adjectives by filling in the blank with an adjective and noun in the correct order. Students choose between two provided options.,,
1113,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1114,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1152,,,"Students practice using adjectives by filling in the blank with an adjective, article, and noun in the correct order. Students choose between the provided options.",,
1136,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1151,,,Students practice using articles at the beginning of a sentence by filling in the blank with one of the two provided options.,,
1115,,,Students practice using adjectives by filling in the blank with an adjective and noun in the correct order. Students choose between the provided options.,,
1098,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1116,,,Students practice conjugating to want by filling in the blank with wants or want. Students must choose the form of to want that matches the subject.,,
1119,,,Students practice using adjectives by filling in the blank with an adjective and noun in the correct order. Students choose between the provided options.,,
1121,,,Students practice conjugating to have by filling in the blank with has or have. Students must choose the form of to have that matches the subject.,,
1123,,,Students practice using articles by filling in the blank with a or an.,,
1125,,,Students practice conjugating to want by filling in the blank with does not want or do not want. Students must choose the form of to want that matches the subject.,,
1127,,,Students practice using articles by filling in the blank with a or an. ,,
1129,,,Students practice conjugating to have by filling in the blank with does not have or do not have. Students must choose the form of to have that matches the subject.,,
1131,,,Students practice conjugating to have by filling in the blank with has or have. Students must choose the form of to have that matches the subject.,,
1133,,,Students practice writing with number adjectives by filling in the blank with an adjective and noun in the correct order. Students choose between the provided options.,,
1134,,,Students practice using adjectives by combining two sentences and using and to connect the adjectives. ,,
1135,,,Students practice writing compound objects by combining two sentences. ,,
1100,,,Students practice using articles by filling in the blank with a or an.,,
1156,,,Students practice writing compound objects by combining two sentences. ,,
1157,,,Students practice writing compound objects by combining two sentences. ,,
1158,,,Students practice listing adjectives by combining three sentences.,,
1159,,,Students practice listing objects by combining three sentences.,,
1160,,,Students practice listing objects by combining three sentences.,,
1139,,,Students practice using singular and plural nouns to form questions by filling in the blank with one of the two provided options.,,
1140,,,Students practice conjugating to be to form questions by filling in the blank with one of the three provided options.,,
1143,,,Students practice forming questions by filling in the blank with one of the provided options.,,
1148,,,Students practice forming questions with to want by filling in the blank with one of the provided options.,,
1149,,,Students practice forming questions with to have by filling in the blanks with two of the four provided options.,,
1150,,,"Students practice using to have, to want, and to be to form questions by filling in the blanks with two of the three provided options.",,
