Concept_Level_2,Concept_Level_1,Concept_Level_0,Rule Name (Old) , The Questions,Rule_Question Number (Keep!),Concept Class
Structure,Active and Passive Voice,Active Voice,Change into Proper Passive or Active Sentences,"{""0"":""Reading too much on a computer {bothers} my eCommas for Commas for Yes and No and No.""}",1586,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change into Proper Passive or Active Sentences,"{""0"":""I had trouble {opening} the pickle jar.""}",1587,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change into Proper Passive or Active Sentences,"{""0"":""! 'My toe {was bruised} Commas for Commas for Yes and No and Noterday after I stubbed it. '""}",1584,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change into Proper Passive or Active Sentences,"{""0"":""The class president {will be elected} by the student body at the end of the week.""}",1585,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change into Proper Passive or Active Sentences-1,"{""0"":""The bridge {will be crossed} by cars tomorrow morning.""}",1582,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change into Proper Passive or Active Sentences-1,"{""0"":""That amazing lunch {was cooked} by Tom Commas for Commas for Yes and No and Noterday.""}",1583,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change into Proper Passive or Active Sentences-2,"{""0"":""I enjoy {eating} sandwiches with potato chips inside.""}",1588,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change into Proper Passive or Active Sentences-2,"{""0"":""Have you ever {played} chess?""}",1589,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive,"{""0"":""{The race was won by me}.""}",1593,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive,"{""0"":""{The pizza was bought by me}.""}",1594,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive,"{""0"":""{The room was cleaned by my mother}.""}",1595,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive,"{""0"":""{A letter was slipped under my door by someone}.""}",1596,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive,"{""0"":""{The trash will be taken out by Sally}.""}",1597,Grammar Concepts
