entry,type,Curriculum Assigned Optimal Status,label,Optional - Curriculum Label,Optional - Highlight,Optional - AutoML Label,Optional - AutoML Primary Feedback,Optional - AutoML Secondary Feedback
small fishes are able to tune in to the traffic reports to judge a reef's quality,prompt,suboptimal,Label_0,,,,,
it can determine fish life.,prompt,suboptimal,Label_0,,,,,
woiejf;acemwieuakhfaj sddk skdjfs dff,prompt,suboptimal,Label_0,,,,,
good good very good yes,prompt,suboptimal,Label_0,,,,,
millions of species,test,suboptimal,Label_0,,,,,
machine learning is a type of artificial intelligence that allows computer systems to learn from experience,prompt,suboptimal,Label_0,,,,,
they learn from experience like humans do just faster,prompt,suboptimal,Label_0,,,,,
"the data can be in the form of pictures, text, numbers or audio recordings",prompt,suboptimal,Label_0,,,,,
the model looks for patterns and makes predictions,prompt,suboptimal,Label_0,,,,,
computer models can detect the sounds of snoring or teeth grinding,test,suboptimal,Label_0,,,,,
this technology powers the tools we use today like Siri and music recogniztion,prompt,suboptimal,Label_0,,,,,
This was a really helpful survey.,prompt,suboptimal,Label_0,,,,,
"Below sea level, with the appropriate gear, you may do the following",prompt,suboptimal,Label_0,,,,,
"Excellent, excellent, excellent, yeah, millions of species",prompt,suboptimal,Label_0,,,,,
"Computer systems may learn from experience using machine learning, a sort of artificial intelligence",test,suboptimal,Label_0,,,,,
Computer models are able to identify snoring and teeth grinding noises.,prompt,suboptimal,Label_0,,,,,
"The modern technologies we use, like Siri and music recognition, are powered by this technology.",prompt,suboptimal,Label_0,,,,,
"no, no, no",prompt,suboptimal,Label_0,,,,,
"yes, yes, yes",prompt,suboptimal,Label_0,,,,,
"They do it more quickly than people can, and the data they use can be images, text, numbers, or audio recordings.",test,suboptimal,Label_0,,,,,
The model searches for patterns and generates predictions.,prompt,suboptimal,Label_0,,,,,
This poll was quite helpful.,prompt,suboptimal,Label_0,,,,,
"Below the surface of the water, with the appropriate equipment, you may go below the surface of the ocean and do the following",prompt,suboptimal,Label_0,,,,,
"Millions of species, indeed",prompt,suboptimal,Label_0,,,,,
Artificial intelligence in the form of machine learning enables computer systems to learn from experience at a quicker pace than humans,test,suboptimal,Label_0,,,,,
Computer models are able to identify noises such as teeth grinding and snoring.,prompt,suboptimal,Label_0,,,,,
Modern technologies like Siri and music recognition are made possible by this technology.,prompt,suboptimal,Label_0,,,,,
asldjcsklacj asdlfkjsalfjslkdja ;dskaj;fdlkjfsk sljdfkj woiejf;acemwieuakhfaj sddk skdjfs dff,prompt,suboptimal,Label_0,,,,,
